polling_unit_id,source_file,draft_province,draft_district,draft_subdistrict_or_municipality,draft_municipality,draft_moo,draft_unit_number,official_province,official_district,official_subdistrict,official_municipality,official_moo,lat,lon,tambon_code,amphoe_code,province_code,location_verified,tambon_verified,tambon_lat,tambon_lon,verification_source,verification_note,needs_location_review,location_review_reason,location_confidence,path_header_unit_match,path_header_locality_match,province_expected_match,district_expected_match,missing_moo,header_unit_number,header_moo,header_locality,header_district,header_constituency_number,header_province,has_markdown,path_local_government,path_local_government_type,path_local_government_name,path_unit_number,path_folder,pdf_path
หน_วยท_10_0001,หน_วยท_10_0001.pdf,กำแพงเพชร,เมือง,นครพนม,,9.0,10.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,10.0,9.0,นครพนม,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_1_0001,หน_วยท_1_0001.pdf,กรุงเทพฯ,เพียง,,,2.0,1.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable;district_ocr_unreliable,0.55,True,True,False,False,False,1.0,2.0,,เพียง,1.0,กรุงเทพฯ,True,,,,,,
หน_วยท_3_0001,หน_วยท_3_0001.pdf,เชียงใหม่,เมือง,เทพนคร,,2.0,3.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,3.0,2.0,เทพนคร,เมือง,1.0,เชียงใหม่,True,,,,,,
หน_วยท_4_0001,หน_วยท_4_0001.pdf,กรุงเทพมหานคร,เมืองฯ,มิตรจุฬา,,4.0,,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,,4.0,มิตรจุฬา,เมืองฯ,,กรุงเทพมหานคร,True,,,,,,
หน_วยท_5_0001,หน_วยท_5_0001.pdf,กำแพงเพชร,เมืองกำแพงเพชร,นครชุม,,4.0,5.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,5.0,4.0,นครชุม,เมืองกำแพงเพชร,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_6_0001,หน_วยท_6_0001.pdf,กำแพงเพชร,เมือง,,,4.0,,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,,4.0,,เมือง,,กำแพงเพชร,True,,,,,,
หน_วยท_7_0001,หน_วยท_7_0001.pdf,กำแพงเพชร,เมือง,เทพนคร,,5.0,7.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,7.0,5.0,เทพนคร,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_8_0001,หน_วยท_8_0001.pdf,กำแพงเพชร,เมือง,อ่างทอง,,5.0,8.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,8.0,5.0,อ่างทอง,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_9_0001,หน_วยท_9_0001.pdf,กำแพงเพชร,เมือง,นครชุม,,6.0,9.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,9.0,6.0,นครชุม,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_11_0001,หน_วยท_11_0001.pdf,กำแพงเพชร,เมือง,อ่างทอง,,8.0,11.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,11.0,8.0,อ่างทอง,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_12_0001,หน_วยท_12_0001.pdf,กรุงเทพมหานคร ใส่จริงสิ้นเป็นที่เรียบร้อ,เมืองฯ,เทพนคร,,9.0,12.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,12.0,9.0,เทพนคร,เมืองฯ,1.0,กรุงเทพมหานคร ใส่จริงสิ้นเป็นที่เรียบร้อ,True,,,,,,
หน_วยท_13_0001,หน_วยท_13_0001.pdf,กรุงเทพมหานคร,เมือง,อ่างทอง,,9.0,13.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,13.0,9.0,อ่างทอง,เมือง,13.0,กรุงเทพมหานคร,True,,,,,,
หน_วยท_14_0001,หน_วยท_14_0001.pdf,กำแพงเพชร,เมือง,อ่างทอง,,10.0,14.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,14.0,10.0,อ่างทอง,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_15_0001,หน_วยท_15_0001.pdf,กำแพงเพชร,เมือง,อ่างทอง,,11.0,15.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,15.0,11.0,อ่างทอง,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_16_0001,หน_วยท_16_0001.pdf,กำแพงเพชร,6 มิ่งฯ,,,,,,,,,,,,,,,False,False,,,,,True,district_ocr_unreliable;missing_moo,0.55,True,True,True,False,True,,,,6 มิ่งฯ,,กำแพงเพชร,True,,,,,,
หน_วยท_17_0001,หน_วยท_17_0001.pdf,กรุงเทพมหานคร,เมือง,เตาหลวง,,12.0,17.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,17.0,12.0,เตาหลวง,เมือง,1.0,กรุงเทพมหานคร,True,,,,,,
หน_วยท_18_0001,หน_วยท_18_0001.pdf,กรุงเทพฯ,เพียง,เกพนคร,,14.0,18.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable;district_ocr_unreliable,0.55,True,True,False,False,False,18.0,14.0,เกพนคร,เพียง,1.0,กรุงเทพฯ,True,,,,,,
หน_วยท_19_0001,หน_วยท_19_0001.pdf,กำแพงเพชร,เมือง,,,19.0,19.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,19.0,19.0,,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_20_0001,หน_วยท_20_0001.pdf,กำแพงเพชร,เมือง,คามเทพนคร,,15.0,20.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,20.0,15.0,คามเทพนคร,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_21_0001,หน_วยท_21_0001.pdf,กำแพงเพชร,เมือง,เพาเวอร์,,16.0,21.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,21.0,16.0,เพาเวอร์,เมือง,2.0,กำแพงเพชร,True,,,,,,
หน_วยท_22_0001,หน_วยท_22_0001.pdf,กำแพงเพชร,เมือง,ถนนฯ,,17.0,22.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,22.0,17.0,ถนนฯ,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_24_0001,หน_วยท_24_0001.pdf,กำแพงเพชร,เมือง,อ่างทอง,,19.0,24.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,24.0,19.0,อ่างทอง,เมือง,1.0,กำแพงเพชร,True,,,,,,
หน_วยท_25_0001,หน_วยท_25_0001.pdf,กำแพงเพชร,เชียงราย,อ่างทอง,,20.0,25.0,,,,,,,,,,,False,False,,,,,True,district_ocr_unreliable,0.55,True,True,True,False,False,25.0,20.0,อ่างทอง,เชียงราย,,กำแพงเพชร,True,,,,,,
หน_วยท_26_0001,หน_วยท_26_0001.pdf,กำแพงเพชร,เมือง,เทพนคร,,21.0,26.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,26.0,21.0,เทพนคร,เมือง,,กำแพงเพชร,True,,,,,,
หน_วยท_27_0001,หน_วยท_27_0001.pdf,กรุงเทพฯ,เมือง,เทพนคร,,22.0,27.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,27.0,22.0,เทพนคร,เมือง,1.0,กรุงเทพฯ,True,,,,,,
หน_วยท_2_0001,หน_วยท_2_0001.pdf,สมุทรสาคร,เมืองฯ,เทพนคร,,1.0,2.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,2.0,1.0,เทพนคร,เมืองฯ,1.0,สมุทรสาคร,True,,,,,,
หน_วยท_23_0001,หน_วยท_23_0001.pdf,กรุงเทพมหานคร,เมือง,อ่างทอง,,18.0,23.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,23.0,18.0,อ่างทอง,เมือง,1.0,กรุงเทพมหานคร,True,,,,,,
หน_วยเล_อกต_งท_1,หน_วยเล_อกต_งท_1.pdf,กรุงเทพมหานคร,เมือง,คลองสามวา,,1.0,1.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,1.0,1.0,คลองสามวา,เมือง,1.0,กรุงเทพมหานคร,True,,,,,,
หน_วยเล_อกต_งท_2,หน_วยเล_อกต_งท_2.pdf,กำแพงเพชร,เมืองฯ,คลองแม่สาย,,3.0,2.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,2.0,3.0,คลองแม่สาย,เมืองฯ,1.0,กำแพงเพชร,True,,,,,,
หน_วยเล_อกต_งท_3,หน_วยเล_อกต_งท_3.pdf,กำแพงเพชร,เมืองฯ,,,3.0,3.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,3.0,3.0,,เมืองฯ,1.0,กำแพงเพชร,True,,,,,,
หน_วยเล_อกต_งท_4,หน_วยเล_อกต_งท_4.pdf,กำแพงเพชร,เมืองฯ,คลองเตย,,3.0,4.0,,,,,,,,,,,False,False,,,,,False,,0.9,True,True,True,True,False,4.0,3.0,คลองเตย,เมืองฯ,1.0,กำแพงเพชร,True,,,,,,
หน_วยเล_อกต_งท_5,หน_วยเล_อกต_งท_5.pdf,กรุงเทพมหานคร,เมืองฯ,อ่างทอง,,1.0,5.0,,,,,,,,,,,False,False,,,,,True,province_ocr_unreliable,0.55,True,True,False,True,False,5.0,1.0,อ่างทอง,เมืองฯ,1.0,กรุงเทพมหานคร,True,,,,,,
หน_วยเล_อกต_งท_6,หน_วยเล_อกต_งท_6.pdf,กำแพงเพชร,เมืองฯ,ตำบลดอนทองเมือง,,,,,,,,,,,,,,False,False,,,,,True,missing_moo,0.55,True,True,True,True,True,,,ตำบลดอนทองเมือง,เมืองฯ,1.0,กำแพงเพชร,True,,,,,,
หน_วยเล_อกต_งท_7,หน_วยเล_อกต_งท_7.pdf,กำแพงเพชร,เมืองกำแพงเพชร,ตำบลดอนทองเมือง,,,,,,,,,,,,,,False,False,,,,,True,missing_moo,0.55,True,True,True,True,True,,,ตำบลดอนทองเมือง,เมืองกำแพงเพชร,1.0,กำแพงเพชร,True,,,,,,
